Repeticao,Tempo de execução
0,0.5796
1,0.6252
2,0.5737
3,0.5922
4,0.6257
5,0.6401
6,0.5817
7,0.5680
8,0.5794
9,0.5876
10,0.5857
11,0.5790
12,0.5851
13,0.6392
14,0.5847
15,0.5828
16,0.5716
17,0.5799
18,0.5977
19,0.5875
20,0.6366
21,0.5719
22,0.5865
23,0.5908
24,0.6350
25,0.5722
26,0.6415
27,0.5869
28,0.5807
29,0.5753
