threads,Tempo de execução
0,2.6652
1,1.4549
2,1.0480
3,0.8376
4,0.8168
5,0.7302
6,0.6753
7,0.6156
8,0.6810
9,0.6794
10,0.6256
11,0.6150
12,0.5972
13,0.6711
14,0.6044
15,0.5903
16,0.6856
17,0.6086
18,0.6042
19,0.6930
20,0.6267
21,0.6043
22,0.6561
23,0.6611
24,0.6306
25,0.6341
26,0.6548
27,0.6366
28,0.6442
29,0.6365
30,0.6356
31,0.6422
32,0.6426
33,0.6539
34,0.6420
35,0.6559
36,0.6763
37,0.6482
38,0.6703
39,0.6560
40,0.6561
41,0.6618
42,0.6669
43,0.6660
44,0.6567
45,0.6703
46,0.6743
47,0.6803
48,0.6864
49,0.6866
50,0.6840
51,0.6749
52,0.6886
53,0.6843
54,0.7022
55,0.6818
56,0.6842
57,0.7005
58,0.7040
59,0.7054
60,0.7017
61,0.6918
62,0.7133
63,0.7074
64,0.6996
65,0.6995
66,0.7140
67,0.7082
68,0.7158
69,0.7057
70,0.7314
71,0.7264
72,0.7308
73,0.7256
74,0.7024
75,0.7137
76,0.7178
77,0.7329
78,0.7381
79,0.7437
80,0.7407
81,0.7459
82,0.7301
83,0.7462
84,0.7432
85,0.7482
86,0.7345
87,0.7366
88,0.7366
89,0.7401
90,0.7427
91,0.7575
92,0.7549
93,0.7589
94,0.7571
95,0.7758
96,0.7918
97,0.8119
98,0.7809
99,0.7752
